CaseID,Activity,startTime,endTime,security,IP,Operator,Department,cloud
0,create,7/6/2022 7:45,7/6/2022 7:47,3,BJ,zhao,c,B
0,rename,7/6/2022 7:51,7/6/2022 7:51,3,SH,wang,a,A
0,read,7/6/2022 7:56,7/6/2022 8:18,3,SH,zhang,b,A
0,move,7/6/2022 8:22,7/6/2022 8:25,3,BJ,liu,a,B
0,read,7/6/2022 8:29,7/6/2022 8:42,3,SH,zhang,a,B
0,read,7/6/2022 9:05,7/6/2022 9:25,3,BJ,liu,a,A
0,move,7/6/2022 9:26,7/6/2022 9:29,3,BJ,zhao,c,B
0,read,7/6/2022 9:29,7/6/2022 9:51,3,SH,liu,b,B
0,delete,7/6/2022 9:59,7/6/2022 9:59,3,BJ,liu,c,A
1,create,7/6/2022 13:47,7/6/2022 13:48,2,SH,li,a,A
1,write,7/6/2022 13:56,7/6/2022 14:00,2,SH,li,a,A
1,modify,7/6/2022 14:06,7/6/2022 14:09,2,SH,zhao,b,A
1,read,7/6/2022 14:13,7/6/2022 14:34,2,BJ,li,a,A
1,move,7/6/2022 14:40,7/6/2022 14:41,2,BJ,zhang,b,B
1,write,7/6/2022 14:48,7/6/2022 14:52,2,BJ,zhao,a,A
1,rename,7/6/2022 14:56,7/6/2022 14:56,2,BJ,wang,a,A
1,write,7/6/2022 15:07,7/6/2022 15:11,2,BJ,zhao,a,A
1,modify,7/6/2022 15:20,7/6/2022 15:23,2,SH,zhao,a,A
1,move,7/6/2022 15:31,7/6/2022 15:32,2,BJ,li,a,A
1,read,7/6/2022 15:52,7/6/2022 16:11,2,BJ,liu,b,A
1,move,7/6/2022 16:18,7/6/2022 16:20,2,BJ,li,a,A
1,write,7/6/2022 16:24,7/6/2022 16:27,2,SH,zhang,b,A
1,move,7/6/2022 16:36,7/6/2022 16:38,2,BJ,liu,b,B
1,write,7/6/2022 16:44,7/6/2022 16:48,2,BJ,zhang,a,A
1,read,7/6/2022 16:57,7/6/2022 17:08,2,BJ,wang,a,B
1,copy,7/6/2022 17:17,7/6/2022 17:17,2,BJ,wang,b,B
1,modify,7/6/2022 17:24,7/6/2022 17:26,2,BJ,zhao,b,A
1,write,7/6/2022 17:34,7/6/2022 17:38,2,BJ,zhao,c,A
1,modify,7/6/2022 17:46,7/6/2022 17:48,2,BJ,liu,a,A
1,copy,7/6/2022 17:55,7/6/2022 17:56,2,SH,zhang,a,B
1,move,7/6/2022 18:04,7/6/2022 18:06,2,SH,wang,b,A
1,write,7/6/2022 18:11,7/6/2022 18:14,2,SH,wang,b,A
1,copy,7/6/2022 18:20,7/6/2022 18:21,2,SH,li,c,B
1,copy,7/6/2022 18:29,7/6/2022 18:30,2,BJ,wang,c,B
1,rename,7/6/2022 18:35,7/6/2022 18:35,2,SH,liu,a,B
1,read,7/6/2022 18:40,7/6/2022 18:54,2,SH,zhang,b,B
1,modify,7/6/2022 18:55,7/6/2022 18:58,2,SH,li,b,A
1,read,7/6/2022 19:11,7/6/2022 19:33,2,BJ,wang,a,A
1,delete,7/6/2022 19:36,7/6/2022 19:36,2,BJ,wang,b,A
2,create,7/6/2022 20:44,7/6/2022 20:45,2,SH,zhang,a,B
2,read,7/6/2022 21:08,7/6/2022 21:27,2,SH,wang,a,A
